,room,1,2,3
0,1,-33,-45,-83
1,1,-38,-42,-76
3,1,-44,-45,-79
4,1,-48,-37,-83
5,1,-54,-30,-75
6,1,-37,-43,-74
7,1,-44,-41,-75
9,1,-33,-45,-82
10,1,-61,-55,-88
11,1,-45,-45,-88
12,1,-45,-55,-86
14,1,-38,-51,-83
15,1,-32,-51,-85
16,1,-35,-47,-78
17,1,-36,-40,-77
18,1,-38,-50,-79
19,1,-37,-42,-84
20,1,-38,-48,-81
23,1,-32,-52,-82
24,1,-39,-42,-81
25,1,-38,-41,-78
27,1,-46,-34,-84
28,1,-44,-31,-76
29,1,-36,-36,-75
31,2,-64,-38,-71
32,2,-56,-31,-70
33,2,-58,-41,-72
34,2,-64,-27,-68
35,2,-67,-26,-71
36,2,-71,-23,-76
37,2,-65,-17,-75
39,2,-68,-23,-64
40,2,-77,-18,-74
41,2,-61,-17,-69
42,2,-59,-19,-71
43,2,-72,-21,-72
44,2,-68,-20,-71
45,2,-66,-16,-65
46,2,-66,-25,-67
47,2,-68,-28,-69
48,2,-68,-19,-72
49,2,-58,-30,-71
50,2,-67,-46,-66
52,2,-62,-19,-72
53,2,-67,-21,-80
54,2,-58,-17,-69
55,2,-62,-30,-74
56,2,-69,-28,-71
57,2,-65,-18,-68
58,2,-75,-19,-74
59,2,-60,-16,-75
60,3,-71,-45,-66
61,3,-76,-36,-64
62,3,-70,-27,-64
63,3,-67,-37,-67
64,3,-66,-49,-68
65,3,-64,-47,-62
66,3,-72,-50,-61
67,3,-68,-47,-67
69,3,-66,-44,-66
70,3,-76,-52,-68
71,3,-72,-58,-65
72,3,-71,-52,-73
73,3,-75,-56,-72
74,3,-73,-47,-67
75,3,-76,-55,-74
76,3,-73,-43,-58
77,3,-70,-52,-65
78,3,-74,-48,-57
79,3,-68,-28,-73
80,3,-73,-41,-67
81,3,-71,-47,-61
82,3,-68,-45,-68
83,3,-75,-45,-66
84,3,-77,-47,-64
85,3,-74,-50,-58
86,3,-73,-54,-66
87,3,-71,-50,-61
88,3,-77,-22,-67
