,room,1,2,3
0,1,-52,-37,-30
1,1,-60,-39,-35
2,1,-56,-30,-51
3,1,-66,-27,-35
4,1,-65,-37,-41
5,1,-60,-35,-46
6,1,-58,-43,-56
7,1,-64,-39,-55
8,1,-57,-30,-53
9,1,-54,-27,-50
10,1,-69,-28,-42
11,1,-55,-57,-35
12,1,-63,-59,-28
13,1,-62,-32,-46
14,1,-56,-29,-38
15,1,-55,-41,-32
16,1,-66,-21,-56
17,1,-70,-44,-46
18,1,-70,-44,-52
19,1,-63,-28,-38
20,1,-65,-34,-42
22,1,-59,-39,-47
23,1,-61,-31,-36
24,1,-53,-30,-39
25,1,-58,-35,-54
26,1,-75,-27,-49
27,1,-58,-36,-45
28,1,-65,-25,-41
29,1,-52,-30,-49
30,2,-57,-55,-35
31,2,-51,-55,-32
32,2,-57,-60,-29
33,2,-48,-54,-21
34,2,-51,-57,-29
35,2,-50,-53,-19
36,2,-57,-66,-25
37,2,-55,-61,-19
38,2,-55,-65,-25
39,2,-52,-58,-14
40,2,-63,-66,-19
41,2,-52,-66,-16
42,2,-66,-54,-14
43,2,-62,-62,-27
44,2,-63,-65,-31
45,2,-56,-67,-31
46,2,-61,-56,-14
47,2,-55,-56,-15
48,2,-54,-66,-17
49,2,-56,-64,-19
50,2,-56,-67,-22
51,2,-52,-59,-16
52,2,-54,-56,-24
53,2,-54,-65,-20
54,2,-60,-63,-14
55,2,-64,-52,-30
56,2,-55,-54,-14
57,2,-54,-59,-27
58,2,-56,-61,-31
59,2,-52,-56,-17
60,3,-67,-64,-34
61,3,-56,-66,-52
62,3,-55,-69,-49
63,3,-52,-68,-41
64,3,-63,-72,-43
65,3,-59,-69,-46
66,3,-74,-72,-50
67,3,-52,-69,-44
68,3,-56,-75,-46
69,3,-56,-71,-40
70,3,-56,-72,-43
71,3,-57,-78,-44
72,3,-63,-75,-46
73,3,-57,-67,-52
74,3,-55,-68,-52
75,3,-65,-73,-51
76,3,-58,-69,-51
77,3,-60,-71,-46
78,3,-64,-71,-63
79,3,-54,-70,-51
80,3,-65,-70,-52
81,3,-61,-73,-45
82,3,-51,-70,-51
83,3,-60,-67,-51
84,3,-57,-72,-48
85,3,-56,-74,-48
86,3,-57,-70,-36
87,3,-62,-74,-55
88,3,-52,-72,-40
89,3,-61,-72,-46
