,room,1,2,3
0,1,-31,-50,-76
2,1,-37,-43,-83
3,1,-38,-50,-80
4,1,-40,-49,-83
5,1,-34,-50,-86
6,1,-39,-54,-83
7,1,-40,-44,-81
8,1,-50,-48,-74
9,1,-46,-37,-76
10,1,-36,-49,-81
11,1,-37,-46,-85
13,1,-40,-43,-79
14,2,-63,-34,-73
15,2,-67,-26,-77
16,2,-61,-25,-71
17,2,-63,-23,-60
18,2,-63,-31,-74
23,2,-69,-12,-61
24,2,-59,-22,-72
26,2,-59,-22,-77
27,3,-71,-40,-60
28,3,-78,-66,-60
29,3,-73,-58,-70
30,3,-82,-52,-58
31,3,-83,-51,-55
32,3,-74,-52,-58
33,3,-72,-57,-74
35,3,-76,-56,-59
36,3,-73,-61,-72
37,3,-55,-71,-66
38,3,-75,-62,-62
40,3,-83,-55,-60
41,3,-75,-51,-57
